ツイートID,ツイートされた時間(日本時間),配信前ツイート,ぽえーむ
1622505374283894786,2023-02-06_17:00:00,"このあと21時からは🌟

⚔ Dark and Darker ⚔

今日は話題のゲームを
PEBOTが初見でやってみるぺこ✨✨

４んだら装備を失う…
けどプレイヤーを倒せば相手の装備を奪える！
楽しそうぺこだな☺️

▽待機所▽
https://t.co/eDZrgD1Yl1 https://t.co/4yWlbQTlHu",たいへんおそくなりました！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！勝負しろ！！！！！！！！！！！！！！！！！！！！！ 
1622178181716516864,2023-02-05_19:19:51,"このあと21時からは🌟

🥉 Minecraft/マイクラ 🥉

ついにペコチャン城を作るぺこ❣

なにやら銅の寄付がたくさんあった予感…！
ありがてぇ😭✨

今日もたのしくマイクラ遊ぼう～✌️

▽待機所▽
https://t.co/S5fy9uO2ys https://t.co/ZAvM0fG0XY","皆さん！寄付ありがとうございます！！！！！
皆さんのおかげでより良いぺこら城ができそうです！！！！
銅を使って建築…
いいぺこですねえ。このぺこら城はぺこら1人で作ったわけじゃない、いろいろな人の汗水流してもらって集まった銅！感動！コマンドー！いくどー！
始めましょう・・・！ "
1621851643859066881,2023-02-04_21:42:19,"このあと22時から🌟

🎤ヒトカラ/The Karaoke🎤

すんまへん！！直りました！！！

22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！

チラズアートさん新作やるぺこ‼️

▽待機所▽
https://t.co/050wWAoM5L https://t.co/RMoGcXPs5O","みんなでカラオケするのも好きだけどやっぱりストレス発散は一人で好きに歌うことだよね？
最近のはやりのおばいどーず君と二人やるせない日々解像度の悪い夢を見た～とか歌いたいよね？？
ドリンクは飲み放題で頼んだから今日はたっくさん歌うぺこだぞおおお！！！！
みんなもついてこれるかい！ "
1621807436956078081,2023-02-04_18:46:39,"このあと21時からは🌟

🎤ヒトカラ/The Karaoke🎤

みんな大好きチラズアート最新作！

今日は恐ろしいカラオケに1人で来てみましたぺこ👊
よーし！いっぱい歌うぞー！

あれ…なんかおかし…
うわああああああああああああああああああああああああ‼️‼️‼️‼️‼️‼️

▽待機所▽
https://t.co/D0l7UT8yrt https://t.co/6zVjTWlgEQ",
1621467556564574208,2023-02-03_20:16:05,"このあと21時からは🌟

😃Happy Game/ハッピーゲーム😃

幸せのゲームって書いてあるけど
ほんとに幸せなの？

いや、見るからに地獄…‼️

switchにあるヤバそうなゲーム
みんなでやってみよおおおおおおお🤞

▽待機所▽
https://t.co/hBzzl4M8nT https://t.co/Ve4xhML5Qs","ハッピーで埋め尽くして～
レストインピースまで行こうぜ～！
努力未来a beautiful star!
努力未来a beautiful star!

みんなはいま幸せ？
ぺこーらはずうううっと幸せ。
みんなもこっちの世界においでよ。
一緒に幸せになろ？そして… "
1621040724719599616,2023-02-02_16:00:00,"このあと21時からは🌟

⛏ Minecraft/マイクラ ⛏

久しぶりのPEBOT～！
そしてホロ鯖マイクラ～！

今日は3人で行きたいところがあるぺこ☺️☀️

▽待機所▽
https://t.co/XLi6Wk91Px https://t.co/URdFVKhviJ",はじめるんだよおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお！ 
1620371880434876416,2023-01-31_19:42:16,"このあと21時からは🌟

⛏ Minecraft/マイクラ ⛏

今日は装備を強化し！
ぺこちゃんタワーのてっぺんに
最強最カワな拠点を作るぺこ✨

完成図はもう頭の中じゃ😉

まぁ見ててよ！！！！！！！！

▽待機所▽
https://t.co/POJX7r5ODH https://t.co/r9RrpnXfZe","マイクラは人生。
人で出会い。家を作り、家族が増え。
そしてラスボスと戦う。
なんてすばらしい人生なのだろうか。
ドキドキハラハラもする。
今日は劇カワの拠点を作るために素材を欲している。
ホロ鯖には素材屋さんいますか？１つ売ってはくれませんか？
よろぺこです！！！！ "
1619998999150493696,2023-01-30_19:00:34,"このあと21時からは🌟

💣 意味がわかると怖いマンガ 💣

みんなは意味が分かると怖い話って見るぺこか？
ぺこらは答えを見るまで理解できないタイプです☺️💦

一緒に考えてヒヤッとしようぺこ‼️

▽待機所▽
https://t.co/aKLLurQAkI https://t.co/vaVFexMFx3","ぺこーら漫画だあああああああいすき！！！
だってイラストって見てるだけでわくわくするし、読みやすい！！！
今日はなんか意味がわかると怖い漫画だって。。。？
どういうことなんだろう？
怖いって色々な種類があるけれど、みんなはどんな怖いが好き？
ぺこーらは…そうだなあ… "
1619585572678553605,2023-01-29_15:37:45,"このあと19時からは🌟

✨👻 妖怪ウォッチ1 👻✨

ウォッチランクもAになり
いよいよ終盤！？
今日はクリアまで遊ぼうと思うぺこ‼️

昨日引いたSランク影オロチも使いたいし、まだまだ新しい友達も増やしたい😊✨

楽しみぺこおおおおおおおお💖

▽待機所▽
https://t.co/XzutgxAyg4 https://t.co/sU3GzKjxlf","たくさんの妖怪と出会った。
悪い妖怪もいたけどいい妖怪もたくさんいた。
妖怪と出会うことで自分の成長にも繋がった。
もう、子供じゃない。僕は大人になるんだ。
大人になったら妖怪見れなくなるのかな…？
寂しい、けどそれが大人になるってことなんだよね。
ありがとう、妖怪たち。ありがとう世界 "
1619246247130574848,2023-01-28_17:09:24,"このあと20時からは🌟

✨👻 妖怪ウォッチ1 👻✨

本日も新しい章から！

妖怪たちの合成と進化も見れたし
友達もどんどん増えるぺこ～☺️

そしてついにSランクを手に入れてしまったガチャ✨
今日も幸運パワーで可愛い友達増やすぞ！！！

▽待機所▽
https://t.co/b9TCAHhFE7 https://t.co/zeMy74eJ8K","なんでも妖怪のせいにするのっていけないと思う。
自分のせいも妖怪のせい。人がやったことも妖怪のせい。
妖怪たち泣いてますよ？
そんな妖怪たちと共に生き抜くゲーム。
それが妖怪ウォッチ。
さぁ、あなたの友達はどんな妖怪かな？
れっつごおおおおおおお！！！ "
1618806005793525763,2023-01-27_12:00:02,"このあと21時からは🌟

📍 ぺこねねVSノエスバGeoGuessr勝負 📍

場所当てジオゲッサー！！！！！
初のコラボぺこ✨✨

今回はチーム戦で勝負🥳

ぺこねねチームが弱いとか言われてるらしいけどそんなことないぺこだよね！？絶対勝つぞねねち👊

▽待機所▽
https://t.co/aXyv5HUbWw https://t.co/gpXoNynrLD",
