ツイートID,ツイートされた時間(日本時間),配信前ツイート,ぽえーむ
1600757016775254021,2022-12-08_16:39:48,"このあと19時からは🌟

👯‍♀️🏴‍☠️ メガトン級ムサシX 🚑🥐

本日はぺこマリスバころ揃って
メガトン級ムサシXで遊ぶぺこ‼️

これはカオスになりそうな予感😳

お楽しみにー！！！！！！！

▽待機所▽
https://t.co/mWJPAYZj9f https://t.co/Cosj7wGGjT",はじまりんぺこー！！！！！！！！！ 
1600057707305660417,2022-12-06_18:20:59,"このあと21時からは🌟

🏆 Fate/Grand Order 🏆

魔獣の女神にボコボコにされるし
牛若丸は連れ去られるしもうめちゃくちゃじゃ！

でもこっちの心は折れてないぺこ😤
後半に盛り返すのがぺこら流や‼️

昨日カルデアに来てもらった村正とバビロニア攻略いくぞ✨

▽待機所▽
https://t.co/Hk2tbogyKU https://t.co/0oZNTHt9nq","手も足もでないほど強い女神がでてきた…
けど、このままじゃいけない。
あいつを倒すため、ぺこーらかねを使った強いキャラ引いてきた！
今日こそキャストリアと村正を出すときがきたみたいだな。
くらえ！法具３連発！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！ "
1599755584936763392,2022-12-05_22:20:28,"このあと23時からは🌟

⚽️ FIFA 23 ⚽️

兎田監督
日本ベスト8への挑戦‼️

FIFA23の中で試合できるモードがあるので擬似試合してみるぺこ💪✨

サッカーやろうぜ！！！！！

▽待機所▽
https://t.co/QUZRiS1jHi https://t.co/5ZaQ3s7wH7","負けられない戦いがここにある…
死のグループと言われたところから決勝トーナメント進出。
すごすぎる。
けど、ここで終わりじゃないよね？
目指すはトロフィー
今日熱い試合がある。まずは、兎田監督のもとで疑似試合してみよう。
きっと勝、いや勝つしかない。
IKZうさだJAPAN！！！！！！！ "
1599696730811138050,2022-12-05_18:26:36,"このあと21時からは🌟

🏆 FGO 千子村正PUガチャ 🏆

UBW見たらさぁ！
欲しくなるぺこじゃん！
もぅ！！！！！！！

しかもキャストリアと相性もいいし
神のお告げかもしれぬぺこ😳

ドバっと引いてやるぺこ‼️

▽待機所▽
https://t.co/No0btwxnJe https://t.co/HTKLH08WUA","始めた時期がいいというかある意味悪いというか…
ほしいキャラがどうしてこんなに一気にくるんだい
嬉しいことであるけれど
けど、これを逃すとまたいつになるかわからない。
だったらもう手に入れるしかないよね？
オベロンまで我慢しようとした…
でもできなかった。
だって人間なんだもの　ぺこお "
1599206857939230721,2022-12-04_10:00:01,"このあと13時からは🌟

🟣ポケモン バイオレット🟣

いつもいつでも うまくゆくなんて
保障どこにもないけど。

失った仲間達を胸にぺこーらはゆく‼️

物語ももう終盤！！
今日はスター団からいこうぺこかな😤

▽待機所▽
https://t.co/1kBWnJgzo6 https://t.co/Duw9cEFGdI","たくさんの出会いがあった
そしてたくさんのお別れがあった
どうして有能なやつほど早死にしてしまうのか…
わからない。
ぺこーらの指示は正しかったはず。
本当だったらひんしになっていなかった場面もいくつもある。
けど、これが運命なのかもしれない。
今度出会うポケモンは一生一緒にいたいな… "
1599030677122732033,2022-12-03_22:19:56,"このあと23時から🌟

裏話？とか色々話したいから
みんなもうちょっとだけ起きててぺこ😳

▽待機所▽
https://t.co/FxqUiATyrK https://t.co/KOwteCUKIR","おめでたいことだらけでこんなに幸せでいいの？？？
この幸せをみんなで共有したい！！！！
もう言葉はいらねえぺこ。
語ろう。
ただそれだけ… "
1598844467884294147,2022-12-03_10:00:00,"本日21時からは🌟

📺 ＃兎田ぺこらがやってみた 📺

200万人企画にぺこーらがやってみたかった事を実際にやってきたぺこ！！！！！
ホロメンゲストも出演🙏✨

そして今回ぺこーらの
大きすぎる夢を叶えてもらいました😭
みんな絶対見てぺこな‼️

▽待機所▽
https://t.co/v3YqWEzIrU https://t.co/j75IsqXqwS",(V)o￥o(V) 
1597861456627650562,2022-11-30_16:53:52,"このあと21時からは🌟

🐰 兎田ぺこら重大告知！！！ 🐰

あまり重大告知や重大発表と言わないぺこーら
なんだか不安になってきました😇

ちなみに引退、休止、新しいペットではございません！

良いことぺこです✨✨✨

▽待機所▽
https://t.co/nYbUjxAzAC https://t.co/a8f9HRr2kQ","ねえ！！みんな！！！
みんなは重大告知って言われたら何を想像する？
ぺこーらなかなかやらないけど、たぶん今回みんな当たらないと思う。
心して聞いてほしい。
むしろ告知の告知告知まであるくらいみんなにいいたいことがたくさんある。
今日はまず1つ目！
みんなで話ながら告知を待て！！！！！！ "
1597524831729504256,2022-11-29_18:36:15,"このあと22時からは🌟

🏆 Fate/Grand Order 🏆

魔獣の女神？キングゥ？
知ったこっちゃあねぇ！！！😤
こっちの心は折れてないぺこ‼️

反撃の狼煙をあげようぺこか…
後半に盛り返すのがぺこら流や‼️

▽待機所▽
https://t.co/yyKLKjHFXG https://t.co/rRk54yi8W2",
1597130672342241281,2022-11-28_16:30:00,"このあと21時からは🌟

🏆 FGO キャストリアPUガチャ 🏆

キタキタキタキタｧｧｧ‼️‼️‼️
お待ちかねのキャストリア👊

幸運ウサギこと兎田ぺこら
1体だけなら余裕ぺこだよね！？

絶対いただくぺこやで😊

▽待機所▽
https://t.co/sbcZuue6qb https://t.co/BfhdyZCDis","無欲です。
なんにもいりません。本当です。来たい人がいれば来てください。
いつでもぺこーらは待っています。このカルデアで…。
人権キャラがきてるみたいぺこですが、関係ありません。
星が何個あっても一人一人素敵なんです。
なんら変わりはありません。
無欲なんです…
こい！キャストリア！ "
1597101238998351872,2022-11-28_14:33:02,"このあと19時からは🌟

‼️ ぺこマリでメガトン級ムサシX ‼️

12/16 配信開始のレベルファイブさん最新作
「メガトン級ムサシX」をプレイ✨

そして ころさん、スバル先輩、マリン、ぺこらでアテレコさせてもらった動画の同時視聴など盛りだくさんでお届けぺこ😇

▽待機所▽
https://t.co/aTmsOUH694 https://t.co/aaXDi47Xru",同時視聴はいやだあああああああああああああいあああああああい 
1596655043893248003,2022-11-27_09:00:01,"このあと13時からは🌟

🟣ポケモン バイオレット🟣

ぺこーら達もだんだん強くなってきた😤
もう犠牲者が出るなんてことはあり得ないことぺこだな⁉️

残すジム等は少なくなってきたけど
まだやりたいことはたくさん！！！！
今日も遊ぶぺこおおおおお✨

▽待機所▽
https://t.co/pzXhPoGF9N https://t.co/oPXfFkDvuB","順調…あまりにも順調すぎる。
だってまだ1匹だけだぜ？
今までにこんなことあったか？いや、もう1年が終わる。
この数年での力を今発揮しているのではないのだろうか。
そうだ。まずは仲間たちをねぎらいたい。
そして新たな強敵を倒し、ポケモンマスターに俺はなる！！！！！！！！！！ドンッ！ "
1596462570663120896,2022-11-26_20:15:12,"このあと21時からは🌟

🟣ポケモン バイオレット🟣

さっきの枠だけじゃ物足りなかったから
今日だけ特別！！！！！！！
夜もポケモンぺこ✨✨

ギリギリの強敵も乗り越えたぺこーら達に敵はないぺこ！！！！！！！！！！！！！！！！！！！！

▽待機所▽
https://t.co/ldlEBwLJlU https://t.co/dl3xOKA3QY","1日に2回もポエムをうつことがあるだなんて…
けどポケモンって面白いなあ！
楽に倒せるやつもいれば死闘のやつもいる。
まだ今回は誰も犠牲をだしていない。
今までないくらいにチーム力そしてぺこーらのマスター力が上がっている気がする！！！（スナバぁ除く）
強い仲間をみつけよう！
そして最高の "
1596336690754334720,2022-11-26_11:55:00,"このあと17時からは🌟

🟣ポケモン バイオレット🟣

ついに前回1人の命が失われた…
ナンジャモちゃんにあんな戦い方をしたのにこれでもダメなのか😭

──ｲｲﾝﾀﾞﾖﾍﾟｺﾗﾁｬﾝ

え！？スナバァ！？
ありがとう…

ジムやヌシ そして新たな仲間を求めて‼️

▽待機所▽
https://t.co/cMeBvqfTZw https://t.co/Ek61mEC5eq","仲間が進化をしてそして強くなる。
ぺこーらも同時に一緒に強くなる。
誰一人かけてはならない人生縛り。
人生ってほんとうに深いな～。
だってまさかあの一撃で命を落とすことになるなんて…
なら、強いやつを仲間にすればいいじゃない！！！
今日も行く！ポケモンヴァイオレット！
IKZ！！！！！！ "
1596081372036112384,2022-11-25_19:00:27,"このあと21時からは🌟

🎮アソビ大全 × 凸待ち🎮

久しぶりのアソビ凸待ち👊👊👊

誰か来てくれるぺこかな…
なんだか今日は…
いや！来てくれるはず‼️

ぺこーらと勝負や！！！

▽待機所▽
https://t.co/yvcJBmNVAF https://t.co/TjVgonrGve","誰か来てくれないかな～！
一緒に遊んでくれる人いないかな～！
今日は一人ぼっちでさみしいな～！
久しぶりに人の温かみを知りたいな～！
きっと誰かしら来てくれるよね～？

YAGOO！起業家ランキング3位おめぺこ！
ぺこーらと戦え！！！！！！ "
1595711923961856000,2022-11-24_18:32:24,"このあと22時からは🌟

⚔Fate/stay night［UBW］同時視聴⚔

アーチャー…！！
前回は衝撃的な事実も明かされました😳

ついについに最終回
この聖杯戦争の結末を見届けるぺこ‼️

▽待機所▽
https://t.co/XJnIIvBTV0 https://t.co/TWd4rtH7DX","まさかあいつがあいつだったんなんて…そして…ワカメ…
お前もOPのあのグロイやつだったなんて…
びっくりだよ…
アニメをみるたびに好きなサーヴァントが増えていく。
これは罠。

今日で戦いもおしまい。
誰の手に聖杯はくるのか…
いくぞ…UBW！！！！！！ "
1594604368787120128,2022-11-21_17:11:22,"このあと20時からは🌟

🏆 Fate/Grand Order 🏆

バビロニア続きから‼️

謎の女ジャガーマンを退けたぺこーら
賢王ギル様より
次の任を受けてから行動開始ぺこ💪

昨日奇跡的に引き当てた金時も使いたい😊(自慢)

▽待機所▽
https://t.co/IsxL6vCGnO https://t.co/SuHxD2JnDV","あ～奇跡ってあるんだな。
あとやっぱりこれだけはいいたい。
ほんの少しの欲はいいけれど、強欲になっちゃいけないよ。
物欲センサーやっぱりあるみたい。
ぺこーらはこれから謙虚にそして清く正しい生活を送ります。
まずはギル様にご奉仕いたします！
そしていつかオベロンが来るときを願い… "
1594136435862360064,2022-11-20_10:11:58,"このあと13時からは🌟

🟣ポケモン バイオレット🟣

ポケモン最新作、超面白いぺこです‼️
ずっとやってたーーーーーい！！！

今日はもっと色んな子仲間にして
ジム、ヌシ、スター団攻略もするぺこ😊

▽待機所▽
https://t.co/xDTaRnZ4Yt https://t.co/WSigOrRdxc","本当は仲間にする気はなかった。
だって見た目からしてなんか弱そうだったから。
けど、何度もぺこーらの視界にはいってきて存在感を現した。
君の名はとんぺい。
そろそろBOX行きかなって思った瞬間。やっぱり見してくるよね
進化するだなんてタイミングがあまりにも良すぎた。
活躍してくれるよね？ "
1593740839615746048,2022-11-19_08:00:01,"このあと13時からは🌟

🟣ポケモン バイオレット🟣

ついに最新作きｔらああああああ😍
まじで楽しみにしてた！！！！！！！

今日から始める大冒険
みんなもついてきてくれぺこ💪‼️

まずは最初のポケモンを選ぶぞ…

▽待機所▽
https://t.co/tN4Pfu5Mqx https://t.co/pBkAUkzBzp","人生とは、人が生きると書く。
人がどんな道を歩んで生きてきたのかそれがわかるｈのが人生。
ポケモンにもポケモン生があると思う。
一生に一度、どんなポケモンマスターに出会うのかはたまた野生のポケモンでいるのか。
ポケモンにつぐ！！！！！
絶対に後悔させない！ともにこの地球を侵略しよう！ "
1593163596435193856,2022-11-17_17:46:15,"このあと21時からは🌟

⚔Fate/stay night［UBW］同時視聴⚔

先週はすごい戦いぺこだった…
そして絶望の連続…

激化する戦いから目を背けるな！ぺこ‼️

▽待機所▽
https://t.co/yIpyt2alSo https://t.co/5dlF1tKiE8","ギル様…
イリヤ…バーサーカー…
そしてワカメ。
この後からどうなってくの？怖い、怖いよう。
どんどん戦いが始まって死んでく者たちが増えてくるの？
覚悟してみなきゃだよね…
それじゃあ今日もUBWの世界へごおおおおおおお！！ "
1592807901487595520,2022-11-16_18:12:51,"このあと21時からは🌟

❄ラミィちゃんとバイオ６ エイダ編❄

今週は初コラボのラミィちゃんと!!!!
どんな感じになるぺこなんだ😳

バイオ6コラボも今回で最終回!!
全てが明らかになるエイダ編をクリアするぺこ💪

▽待機所▽
https://t.co/7VOEcGaKeS https://t.co/qI1v41XDbU","ラミィお誕生日おめでとう！
ぺこーら先輩誘ってくれてありがとう！！！！（消去法だけど…）
そんなことないよ！だってらみぃちゃんと遊びたかったんだもの（棒読み）
ラミィも本当に遊びたかった（はなほじ））
きたねえらみちゃんってはなほじんだ…
その小さい鼻を小指でほじるんか？
ほじるんよ。 "
1592455816858460161,2022-11-15_18:53:47,"このあと21時からは🌟

🐙弾丸!!大阪旅行レポ🐙

深夜、ふと思い立ったぺこーら
「そうだ、大阪行こう。」

てなわけで弾丸旅行行ってきたぺこ‼️

お土産たくさん買うてきた☺️
お目当てのもの絶対当てたるで！！！！！！！

▽待機所▽
https://t.co/KC8VQPfYZa https://t.co/xFAmuGXU6k","ほんま大阪ってええ都市だったな～
おいしいものもいっぱい、あったかい人もいっぱい。
弾丸旅行だったけど思い出もいっぱい！
あ～あと1週間くらいいたかったな～
ほんまおおきに！
関西出禁とかいうてたらいてこますぞ！わあああああれええええ！！！！
ぜひ、お目当てのものきますよーに！ "
1591725567778639874,2022-11-13_18:32:02,"RT @usadapekora: このあと20時からは🌟

🏆 Fate/Grand Order 🏆

バビロニアいきなり面白い！！！
歴史のお話してくれるのよかったー✨

そして今日はついにギルガメッシュ
絶対クルーーーーーー‼️‼️‼️

楽しみ＆楽しみ😊

▽待機所▽
h…",
1591680977893572609,2022-11-13_15:34:51,"このあと20時からは🌟

🏆 Fate/Grand Order 🏆

バビロニアいきなり面白い！！！
歴史のお話してくれるのよかったー✨

そして今日はついにギルガメッシュ
絶対クルーーーーーー‼️‼️‼️

楽しみ＆楽しみ😊

▽待機所▽
https://t.co/LqogzSATf8 https://t.co/bb9gSGSVNf","やっぱり優しい人を信じちゃいけないね。
見た目で判断しちゃいけない。それは昨日わかった。
本当に本当についにやっとそれがし会えるんだ。
ギル様…こんなにもギル様に会いたい気持ちがあるのになんで昨日あえなかったの？
ギル様を狙って玉砕された女もいるみたいだからはやいうちに合わなきゃ！ "
1591393282588053504,2022-11-12_20:31:39,"RT @usadapekora: このあと21時からは🌟

🏆 Fate/Grand Order 🏆

第7章 絶対魔獣戦線バビロニア
攻略開始するぺこ‼️

ついにギル様くるーーー！？

強くなった仲間たちで乗り込むぺこ😤

▽待機所▽
https://t.co/Ij1e7B…",
1591370215941545986,2022-11-12_19:00:00,"このあと21時からは🌟

🏆 Fate/Grand Order 🏆

第7章 絶対魔獣戦線バビロニア
攻略開始するぺこ‼️

ついにギル様くるーーー！？

強くなった仲間たちで乗り込むぺこ😤

▽待機所▽
https://t.co/Ij1e7B6rtj https://t.co/G1enHrZLoZ","ついにギル様登場！？！？？！！
ここまでいろいろな旅があったけど今回はご褒美なのかもしれない！！！！！
はやくあいとうございます、ギル様！
ぺこーらどんな旅になるかわくわくどきどきいっぱいです！！！！！！
もういっちゃおう！第七特異点バビロニアへ！！！！！！！！！！！！！ "
1590988953162743810,2022-11-11_17:45:00,"このあと21時からは🌟

⚔Fate/stay night［UBW］同時視聴⚔

待ってたぺこ～！！！
UBWほんとに面白い✨✨

今日はついにギル様がしっかり出そう😍

▽待機所▽
https://t.co/BEcrlpyYfB https://t.co/XP6SsdRIWE","ワカメのいいとこどーこだ！！！！
ついにギル様がたくさんでてくれるぺこか？！
けど、ワカメと組むの…？
それはちょっとぺこーらにてきナッシングだけどまぁまずは相性がどんな感じかみてみましょう！！！

聖杯はだれが手にするのか！！！！！
いっくぞおおおおおおおおおお！！！！！ "
1590268840898101250,2022-11-09_18:03:32,"このあと20時からは🌟

🥦ノエルとバイオハザード６ジェイク編🥦

バイオ協力プレイ第2回はノエールと💪

いつもは対決ばかりだけど今日は協力😤
ぺこーらにしっかりついてこいぺこ！！！！！！！！！！！！！！！！！！

▽待機所▽
https://t.co/pH5jVT5sKP https://t.co/FT4pFBG88H","ノエル。今日は対戦じゃなく協力だ！
3年半くらいやってきてとうとうここまでやってきたか。
それよりもお前どんだけ胸がでかいんだよ。
まぁ、これは夢と希望が詰まってるからね。
そうかー！じゃあぺこらたちも夢と希望をもって今日はゾンビを倒すんだね！！！
しゃっっっっっっ！！！！！ "
1589917927826132993,2022-11-08_18:49:07,"このあと21時からは🌟

⚖もしも兎田ぺこらが犯罪をおかしてしまったら…⚖

ついに裁判を起こされました😭

ぺこーらが何をしたのか。
そしてどうなるのか。

判決を下すのは裁判官であるみんなぺこ‼️

…ぺこーら無罪だよね？

▽待機所▽
https://t.co/zKwv0O5q6C https://t.co/ytTmogtfaI","やってない！ぺこーらは本当にやってない！！信じてくれるよね？みんな！！！
ぺこーら日頃の行いがよくないってよく言われるけど本当にやってないんだ！！！！
罪を犯したことが1度もない。
ぺこーらが罪になるかどうかはみんな次第。
みんなはぺこーらを救ってくれるよね？
絶対に無罪だよね？？？ "
1589090195315515393,2022-11-06_12:00:01,"本日20時からは🌟

🏆 FGO モルガンPUガチャ 🏆

ついに来たモルガンPU…
この時をずっと待っていたぺこ‼️

石はしっかり貯めてきた！
運もバッチシ貯めてきた！

もしかして宝具５になっちゃったりするぺこおおおおおおおおおおおおおおおおおおおおお😳⁉

▽待機所▽
https://t.co/7z8r77XBp3 https://t.co/VCbC41EsNl","待ってたよ…モルガンさん。
あなたを引くためにガチャまじで我慢してました。
あなたにすべてをささげます。
この涙の汗の結晶の石を…！！！！！
来てくれるよね？ここまで頑張ったんだからこれで来ないとかないよね？
わかってるよね？なんでもしますから来てください！呼符で！
モルガンこい！！！ "
1589060192943378432,2022-11-06_10:00:47,"このあと14時30分からは🌟

💛ホロライブ運動会 黄組後半戦💛

今日は運動会当日！！！
前半組からのバトンを受け取って
優勝目指してがんばるぺこ✨

#ホロライブ運動会2022

▽待機所▽
https://t.co/lnwR0GtZMl https://t.co/DyHtAbYwQB",
1588803305324498944,2022-11-05_17:00:01,"このあと21時からは🌟

⚔Fate/stay night［UBW］同時視聴⚔

バーサーカー強よおおおおお
映像すごおおおおおおお
知ってるキャラたくさん出てくる‼️

楽しみにしておりました！ぺこ😊

▽待機所▽
https://t.co/wxt8nhnhDJ https://t.co/5QGhcJ6vUO","1週間に1回の楽しみ同時視聴！
きゃわいいイリヤもでたりとんでもなく化け物のバーサーカーがでたりどんどんバトルが繰り広げられている。
ぺこーらは毎日さくらのごはんを食べるに一生懸命すぎてバトルは士郎＆セイバー＆凛そしてアーチャーに任せた。
かっこいい洋服来てるギル様今日も会えるかな？ "
1588072485638938624,2022-11-03_16:36:00,"このあと19時からは🌟

🐟釣りスピリッツ🐟

ゲーセンにあるめっちゃ面白いやつ‼️
がswitchで遊べちゃうぺこだと！？

さーて、伝説の魚を釣り上げて
ザックザクといきますか！！！！！

初見でやってみるぺこ🎶

▽待機所▽
https://t.co/DVkux0GFOx https://t.co/w1uoHbH3VC","大漁だ～大漁だ～！
巷でキッズに大人気の釣りスピリッツを今日はぺこーらも遊んでみる！
逃した魚は大きいぞという言葉ある。
きっとこのゲームにも主のような巨大魚もいるはず！！！！！！！
必ずぺこーらは大きい魚を釣って今日のご飯にしようと思う！！！！
おまえら！今日はたっぷりたべていいぞ "
1587725869816025090,2022-11-02_17:38:40,"このあと20時からは🌟

🥦マリンとバイオハザード６クリス編🥦

協力プレイで頑張るぞ！！！
フレンドリーファイアは勘弁ぺこな✋

シナリオもめっちゃいいらしいから楽しみぺこ☺️✨

▽待機所▽
https://t.co/iw7jIIfKXs https://t.co/nsTw8owaIJ","マンション！いろいろな人に誘われちゃう！
ぺこらちゃんうちのマンションだったらゾンビが上に上がってこれないシステムになってます。
なにいってんだこいつ？タレットでもあるのか？
この世がもうおわりになってしまうぺこじゃん。
マリン…バイオ６の世界へ一緒にいって生きて帰って同じマン所… "
1587362093417627650,2022-11-01_17:33:09,"このあと20時からは🌟

🌱Minecraft運動会合同練習🌱

ホロライブ大運動会に向けて
赤組＆黄組で合同練習するぺこおお‼️

どんな競技かまだ知らないから楽しみじゃ👍

▽待機所▽
https://t.co/TsxG626Qlt https://t.co/uhsAs1YTdU",始まるぺっこだよおおおおおおおおおおおおおお！！！！！！！！！！！ 
1586613928963891200,2022-10-30_16:00:13,"このあと20時からは🌟

🏴マリンの家でぺこマリゲーム対決🥕

ついに実行されたオフコラボ
まずは色んなゲームで勝負勝負ぺこ‼️

絶対に負けねぇぺこ！！！！！！

▽待機所▽
https://t.co/NoVoXX5nFB https://t.co/v1X4luw27F","ついに今日か…。
マリンの家でオフコラボ！どんな家に住んでいるのか、部屋はどんな感じなのかわくわく緊張だな…
あ、部屋に到着。
思った以上に部屋が女の子らしくてびっくりだ！
隣のマリンは変なテンションになって大丈夫か？これかバトルが始まるさあ、始めよう‼️デスゲームを！ "
1586266214870831104,2022-10-29_16:58:31,"このあと19時からは🌟

🏆 Fate/Grand Order 🏆

本日 第六特異点キャメロット最終回‼️

物語は最終局面…
円卓のみんな、山の民のみんな、エジプトのみんな一体どうなっちゃうぺこなの😳

もうとにかく開始ぺこ！！！！！！！

▽待機所▽
https://t.co/ir32l4AbCq https://t.co/5DZtZms1l4","ついに、攻略できるのかキャメロット…！
ここまでめちゃめちゃ強い円卓の騎士たちと幾度となく戦ってきた。
なんどか心が折れそうなときもあった。
けどね。ぺこーらのそばにはいた。
そう仲間が。パーティーの仲間が。
一人じゃない。こんなにも心強い仲間がいる。
ぺこーらいいマスターになったよ "
1585938125112545280,2022-10-28_19:14:48,"このあと21時からは🌟

⚓あくありうむ。⚓

なんかオモロそうなゲーム見つけた‼️

表紙の子かわいいぺこだね☺️
ほかにもどんな子が出るんだろうﾜｸﾜｸ

▽待機所▽
https://t.co/OijvLv7sdR https://t.co/OjXFmXZ7pF","あれ？！こんなところにかわいいメイドがいるじゃないか。
僕のこと好き？
僕にはぺこーらという女の子がいるのに…ほかの女の子のことを意識しなきゃいけないなんて…
まぁけど、かわいいからいっか。
どんなわからないからまずはお話から始めようかな？
生意気なメスだったらわかってるよな？ "
1585558240900751360,2022-10-27_18:05:17,"このあと21時からは🌟

⚔ Fate/stay night［UBW］同時視聴⚔

こいつ完全にFateハマってるぺこだな！

楽しみにしていたUBW
今日からみんなで同時視聴スタートぺこ✨

▽待機所▽
https://t.co/w5iWwyC0w3 https://t.co/wXQ66ScNcY","UBW…
今回は凛ルートと聞いている。
どういう話になるぺこなのか？
凛…
もしやいちゃいちゃもあったりするのか？
わからない、けど期待はさせてもらおうかな。
そのくらいいいよね？もう見たい。準備はいいぺこか？
いざFateの世界へごおおおおおおおおおおおおお！！！ "
1585547871738163200,2022-10-27_17:24:05,"このあと19時からは🌟

🎺Trombone Champ🎺

トロンボーン・ウサダ
兎田トロンボン
ぺこら・ザ・トロンボーン

トロンボーンについては数々の異名があるぺこーらもこのゲームは初めてぺこ‼️

なにやら流行りのゲームやってみる✨

▽待機所▽
https://t.co/ea12YaA9yF https://t.co/UoBvw6XVEc","トロンボーンって弾いたことある？
ぺこーらはあるよ。
どんな名曲もすべてアレンジしてしまうくらいの腕前さ！
さぁ、音楽とともに一緒に踊ろうじゃないか。
レッツシンガーソーぐプレイトロンボーン！
奏でろぺこらの音よ！！！！！！！！！！！！！ "
1584853552869974016,2022-10-25_19:25:06,"このあと21時からは🌟

🥕メンバー限定配信🥕

あ、どうも明日4時起きの者です😉

なんで4時起きって？
新聞配達…マグロ漁…パン屋…
なんだろうか👊

まぁゆるっと話そうぺこ！！！

▽待機所▽
https://t.co/MBh984tSMs https://t.co/wyr88TCRSe",
1584455101514514432,2022-10-24_17:01:48,"このあと21時からは🌟

🏆 Fate/Grand Order 🏆

初代ハサン！？
流星一条(ステラ)…

第六特異点キャメロットの物語も
佳境に入ってきたぺこだねぇ！！！😳

今日も攻略していくぺこ‼️

▽待機所▽
https://t.co/KM3HwozVV4 https://t.co/aLc9txoosM","いや、これができる人は数少ないと思う。
自分を犠牲にしてまで守れる人この世界で何人いるのだろうか…？
ぺこーらは昨日とってもとっても強くてそしてかっこいいステラを見た。
それと同時に命の重さも知った。
笑いながら使っていい宝具じゃない。
そう、一回一回涙を流しながら使おう…！！！！！ "
1584097082805084161,2022-10-23_17:19:10,"このあと20時からは🌟

⚔ Fate/GrandOrder ⚔

お待たせしました！！！
楽しみにしていたFGOの日✨

キャメロットを今日も攻略していくぺこ‼️

今日は秘密兵器を育成してきたからそいつのお披露目からスタートするぜ！！！！！！！！！！！

▽待機所▽
https://t.co/r09cDT7EG1 https://t.co/o6WzEt9IIu","今日も行く！ぺこーらとともFGO！
強い敵は当たり前！
だけどぺこーらもしっかり考えながら戦えている気がする。決してサポ鯖に頼ってるわけじゃない！
戦略がいいから勝てるのだ！そうだろう？
みんなもぺこーらのサーヴァントにならないか？
キャメロット攻略今日も行く！
れっつごおおお！！！！ "
1583756206300008448,2022-10-22_18:44:39,"このあと20時からは🌟

🌼マリカ 8位以下即終了🌼

ぺこらの願いは1時間完走すること…

必ずや7位以内を守り切り、絶対に完走してみせるぺこおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお‼️‼️‼️

▽待機所▽
https://t.co/Ik0mbeqH5O https://t.co/1edysu45Rf",心理テストっておもろ 
1583403399982112770,2022-10-21_19:22:43,"このあと21時からは🌟

🧀 チーズ祭り開催 🧀

チーズ大好き兎田ぺこrrrrrrrら
美味しそうなチーズ買ってきたぺこ^^

今日はみんなでチーズフォンデュ…
ラクレットチーズ…ふふふ…

チーズパーティと洒落こもうじゃねぇぺこか‼️‼️‼️

▽待機所▽
https://t.co/rvi1vKxbW3 https://t.co/dFaX3E71zh","のびのびのびいいいいいいいいいる。
なんでこの世にチーズがあるんだ？
だれがこんなうまいものを作ったんだ！！！！許せない。
こんなおいしいものがあったら争いがおきるじゃねえか…
みんなチーズ好き？
ぺこーらは大好き！！！！！チーズをかければおいしいと思っている兎が家でチーズパーティ！ "
1583063540532846592,2022-10-20_20:52:14,"このあと22時から🌟

📚 なぜなにぺこちゃん 📚

お待たせしました！！
第3回、プレミア公開するぺこだよおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお‼️‼️‼️

▽待機所▽
https://t.co/9qnEiCRpQl https://t.co/MSxcXvkaJT",
1582667983821762562,2022-10-19_18:40:26,"このあと20時からは🌟

🚗 バイオハザード６ 🚗

本日はバイオ６
レオン編をクリアまで遊ぶぺこ✨✨

ぺこレオンの結末を見届けてくれ‼️

▽待機所▽
https://t.co/TJfNgID3VA https://t.co/aGZ7jcvNAj","黒幕はもうわかった。
あいつを倒せばいいんだよな？
ぺこレオンはいつもハーブや玉不足だけどなんだかんだ勝てちまう。
それがぺこばいお！

今日もゾンビをばんばんうってハーブをきめていくぅ！
レオン編完結するぞ…！！！！！！！！！！ "
1582324936382631936,2022-10-18_19:57:17,"このあと21時からは🌟

🥕 バイオハザード６ 🥕

久しぶりのバイオ！！！！！！！
なななんと本日からバイオ6を
初見で始めるぺこ☺️

なにやら2人プレイもできるらしいので来週からシナリオごとにホロメンと一緒にできたりしたら面白いなとも考えております☀️

▽待機所▽
https://t.co/5ApfsjLeqS https://t.co/IqZ3F1MfnA","久々に私銃を手にする。
なんだかどきどきしちゃう
最近はゾンビとまったく交流なかったから…
ちゃんと撃てるかな？

わかんない、わかんないけど今回は仲間がいるみたい。
一人じゃない2人…
きっと頼もしいはずぺこだよね？
頼りにしてんぞ相棒！ "
1581564107706159105,2022-10-16_17:34:01,"このあと20時からは🌟

🏆 Fate/Grand Order 🏆

ガウェイン…つ、強すぎる…‼️

試行錯誤のすえなんとか倒したぺこーら
今日もキャメロットを攻略していく👊✨

▽待機所▽
https://t.co/fJ9zgAw7kn https://t.co/3mREuLgEOh","今日も凹されに来ました！
いやぼこしにきました！
どんだけ強い騎士たちがきてもぺこーらたちのきずなでなんとか倒して見せる
ぺこーらは昨日やっと考える力を得た
いままでの戦いじゃあもうだめだ。
考えに考え人間の頭脳の恐ろしさ
わからせるしない。
いこう、どんな敵も薙ぎ払う！！！！！ "
